Year_Month,Day,Month,Fiscal_Year
―,―,-,-
2022-03-,2022/3/1,2022_03,2021
2022-02-,2022/2/1,2022_02,2021
2022-01-,2022/1/1,2022_01,2021
2021-12-,2021/12/1,2021_12,2021
2021-11-,2021/11/1,2021_11,2021
2021-10-,2021/10/1,2021_10,2021
2021-09-,2021/9/1,2021_09,2021
2021-08-,2021/8/1,2021_08,2021
2021-07-,2021/7/1,2021_07,2021
2021-06-,2021/6/1,2021_06,2021
2021-05-,2021/5/1,2021_05,2021
2021-04-,2021/4/1,2021_04,2021
44637,2022/3/17,2022_03,2021
44490,2021/10/21,2021_10,2021
44484,2021/10/15,2021_10,2021
44441,2021/9/2,2021_09,2021
44419,2021/8/11,2021_08,2021
44356,2021/6/9,2021_06,2021
2021-03-,2021/3/1,2021_03,2020
2021-02-,2021/2/1,2021_02,2020
2021-01-,2021/1/1,2021_01,2020
2020-12-,2020/12/1,2020_12,2020
2020-11-,2020/11/1,2020_11,2020
2020-10-,2020/10/1,2020_10,2020
2020-09-,2020/9/1,2020_09,2020
2020-08-,2020/8/1,2020_08,2020
2020-07-,2020/7/1,2020_07,2020
2020-06-,2020/6/1,2020_06,2020
2020-05-,2020/5/1,2020_05,2020
44251,2021/2/24,2021_02,2020
44246,2021/2/19,2021_02,2020
44237,2021/2/10,2021_02,2020
44230,2021/2/3,2021_02,2020
44202,2021/1/6,2021_01,2020
44146,2020/11/11,2020_11,2020
44099,2020/9/25,2020_09,2020
44064,2020/8/21,2020_08,2020
44057,2020/8/14,2020_08,2020
44041,2020/7/29,2020_07,2020
44034,2020/7/22,2020_07,2020
43999,2020/6/17,2020_06,2020
43994,2020/6/12,2020_06,2020
43948,2020/4/27,2020_04,2020
43934,2020/4/13,2020_04,2020
2020-01-,2020/1/1,2020_01,2019
2019-12-,2019/12/1,2019_12,2019
2019-11-,2019/11/1,2019_11,2019
2019-10-,2019/10/1,2019_10,2019
2019-09-,2019/9/1,2019_09,2019
2019-08-,2019/8/1,2019_08,2019
R1.5.9,2019/5/9,2019_05,2019
R1.5.8,2019/5/8,2019_05,2019
R1.5.13,2019/5/13,2019_05,2019
R1.5.10,2019/5/10,2019_05,2019
43914,2020/3/24,2020_03,2019
43909,2020/3/19,2020_03,2019
43907,2020/3/17,2020_03,2019
43895,2020/3/5,2020_03,2019
43889,2020/2/28,2020_02,2019
43882,2020/2/21,2020_02,2019
43879,2020/2/18,2020_02,2019
