Year_Month,Day,Month,Fiscal_Year
不明,不明,-,-
6/19～22,6/19～22,-,-
6/16～23,6/16～23,-,-
10月上旬,10月,-,-
―,―,-,-
－,－,-,-
44623,2022/3/3,2022_03,2021
2022-03-,2022/3/1,2022_03,2021
44609,2022/2/17,2022_02,2021
44607,2022/2/15,2022_02,2021
44605,2022/2/13,2022_02,2021
44604,2022/2/12,2022_02,2021
44603,2022/2/11,2022_02,2021
44601,2022/2/9,2022_02,2021
44599,2022/2/7,2022_02,2021
44598,2022/2/6,2022_02,2021
44597,2022/2/5,2022_02,2021
44596,2022/2/4,2022_02,2021
44594,2022/2/2,2022_02,2021
44593,2022/2/1,2022_02,2021
2022-02-,2022/2/1,2022_02,2021
44592,2022/1/31,2022_01,2021
44591,2022/1/30,2022_01,2021
44590,2022/1/29,2022_01,2021
44588,2022/1/27,2022_01,2021
44587,2022/1/26,2022_01,2021
44586,2022/1/25,2022_01,2021
44585,2022/1/24,2022_01,2021
44581,2022/1/20,2022_01,2021
44580,2022/1/19,2022_01,2021
44578,2022/1/17,2022_01,2021
44577,2022/1/16,2022_01,2021
44576,2022/1/15,2022_01,2021
44574,2022/1/13,2022_01,2021
44573,2022/1/12,2022_01,2021
44572,2022/1/11,2022_01,2021
44570,2022/1/9,2022_01,2021
44568,2022/1/7,2022_01,2021
44567,2022/1/6,2022_01,2021
44566,2022/1/5,2022_01,2021
44565,2022/1/4,2022_01,2021
44564,2022/1/3,2022_01,2021
44563,2022/1/2,2022_01,2021
2022-01-,2022/1/1,2022_01,2021
44561,2021/12/31,2021_12,2021
44560,2021/12/30,2021_12,2021
44559,2021/12/29,2021_12,2021
44558,2021/12/28,2021_12,2021
44550,2021/12/20,2021_12,2021
44548,2021/12/18,2021_12,2021
44547,2021/12/17,2021_12,2021
44546,2021/12/16,2021_12,2021
44545,2021/12/15,2021_12,2021
44544,2021/12/14,2021_12,2021
44543,2021/12/13,2021_12,2021
44540,2021/12/10,2021_12,2021
44539,2021/12/9,2021_12,2021
44538,2021/12/8,2021_12,2021
44537,2021/12/7,2021_12,2021
44536,2021/12/6,2021_12,2021
44535,2021/12/5,2021_12,2021
44534,2021/12/4,2021_12,2021
44533,2021/12/3,2021_12,2021
44532,2021/12/2,2021_12,2021
44531,2021/12/1,2021_12,2021
2021-12-,2021/12/1,2021_12,2021
44530,2021/11/30,2021_11,2021
44529,2021/11/29,2021_11,2021
44528,2021/11/28,2021_11,2021
44527,2021/11/27,2021_11,2021
44526,2021/11/26,2021_11,2021
44525,2021/11/25,2021_11,2021
44524,2021/11/24,2021_11,2021
44522,2021/11/22,2021_11,2021
44520,2021/11/20,2021_11,2021
44518,2021/11/18,2021_11,2021
44517,2021/11/17,2021_11,2021
44516,2021/11/16,2021_11,2021
44515,2021/11/15,2021_11,2021
44514,2021/11/14,2021_11,2021
44513,2021/11/13,2021_11,2021
44512,2021/11/12,2021_11,2021
44511,2021/11/11,2021_11,2021
44510,2021/11/10,2021_11,2021
44509,2021/11/9,2021_11,2021
44508,2021/11/8,2021_11,2021
44507,2021/11/7,2021_11,2021
44504,2021/11/4,2021_11,2021
44503,2021/11/3,2021_11,2021
44502,2021/11/2,2021_11,2021
2021-11-,2021/11/1,2021_11,2021
44500,2021/10/31,2021_10,2021
44499,2021/10/30,2021_10,2021
44497,2021/10/28,2021_10,2021
44496,2021/10/27,2021_10,2021
44495,2021/10/26,2021_10,2021
44494,2021/10/25,2021_10,2021
44491,2021/10/22,2021_10,2021
44490,2021/10/21,2021_10,2021
44489,2021/10/20,2021_10,2021
44488,2021/10/19,2021_10,2021
44487,2021/10/18,2021_10,2021
44486,2021/10/17,2021_10,2021
44485,2021/10/16,2021_10,2021
44483,2021/10/14,2021_10,2021
44482,2021/10/13,2021_10,2021
44481,2021/10/12,2021_10,2021
44480,2021/10/11,2021_10,2021
44478,2021/10/9,2021_10,2021
44476,2021/10/7,2021_10,2021
44475,2021/10/6,2021_10,2021
44474,2021/10/5,2021_10,2021
44473,2021/10/4,2021_10,2021
44472,2021/10/3,2021_10,2021
2021-10-,2021/10/1,2021_10,2021
44468,2021/9/29,2021_09,2021
44467,2021/9/28,2021_09,2021
44461,2021/9/22,2021_09,2021
44460,2021/9/21,2021_09,2021
44455,2021/9/16,2021_09,2021
44454,2021/9/15,2021_09,2021
44453,2021/9/14,2021_09,2021
44452,2021/9/13,2021_09,2021
44448,2021/9/9,2021_09,2021
44447,2021/9/8,2021_09,2021
44445,2021/9/6,2021_09,2021
2021-09-,2021/9/1,2021_09,2021
44438,2021/8/30,2021_08,2021
44434,2021/8/26,2021_08,2021
44432,2021/8/24,2021_08,2021
44431,2021/8/23,2021_08,2021
44427,2021/8/19,2021_08,2021
44426,2021/8/18,2021_08,2021
44418,2021/8/10,2021_08,2021
44414,2021/8/6,2021_08,2021
44413,2021/8/5,2021_08,2021
44412,2021/8/4,2021_08,2021
44410,2021/8/2,2021_08,2021
2021-08-,2021/8/1,2021_08,2021
44407,2021/7/30,2021_07,2021
44406,2021/7/29,2021_07,2021
44398,2021/7/21,2021_07,2021
44396,2021/7/19,2021_07,2021
44393,2021/7/16,2021_07,2021
44392,2021/7/15,2021_07,2021
44391,2021/7/14,2021_07,2021
44390,2021/7/13,2021_07,2021
44385,2021/7/8,2021_07,2021
44384,2021/7/7,2021_07,2021
44382,2021/7/5,2021_07,2021
44378,2021/7/1,2021_07,2021
2021-07-,2021/7/1,2021_07,2021
44376,2021/6/29,2021_06,2021
44375,2021/6/28,2021_06,2021
44370,2021/6/23,2021_06,2021
44368,2021/6/21,2021_06,2021
44364,2021/6/17,2021_06,2021
44361,2021/6/14,2021_06,2021
44357,2021/6/10,2021_06,2021
44354,2021/6/7,2021_06,2021
44350,2021/6/3,2021_06,2021
44349,2021/6/2,2021_06,2021
2021-06-,2021/6/1,2021_06,2021
44347,2021/5/31,2021_05,2021
44343,2021/5/27,2021_05,2021
44342,2021/5/26,2021_05,2021
44341,2021/5/25,2021_05,2021
44340,2021/5/24,2021_05,2021
44337,2021/5/21,2021_05,2021
44336,2021/5/20,2021_05,2021
44333,2021/5/17,2021_05,2021
44329,2021/5/13,2021_05,2021
44328,2021/5/12,2021_05,2021
44327,2021/5/11,2021_05,2021
44326,2021/5/10,2021_05,2021
44323,2021/5/7,2021_05,2021
44322,2021/5/6,2021_05,2021
2021-05-,2021/5/1,2021_05,2021
44313,2021/4/27,2021_04,2021
44312,2021/4/26,2021_04,2021
44306,2021/4/20,2021_04,2021
44305,2021/4/19,2021_04,2021
44301,2021/4/15,2021_04,2021
44298,2021/4/12,2021_04,2021
44294,2021/4/8,2021_04,2021
44293,2021/4/7,2021_04,2021
44292,2021/4/6,2021_04,2021
2021-04-,2021/4/1,2021_04,2021
44284,2021/3/29,2021_03,2020
44279,2021/3/24,2021_03,2020
44278,2021/3/23,2021_03,2020
44277,2021/3/22,2021_03,2020
44272,2021/3/17,2021_03,2020
44270,2021/3/15,2021_03,2020
44267,2021/3/12,2021_03,2020
44266,2021/3/11,2021_03,2020
44265,2021/3/10,2021_03,2020
44263,2021/3/8,2021_03,2020
44259,2021/3/4,2021_03,2020
44258,2021/3/3,2021_03,2020
44257,2021/3/2,2021_03,2020
